PeriodId,AuthorshipRec-100
3,0
7,0
8,0
9,12.5
10,6.31896669998628
11,21.6015930739174
12,58.2478821341034
13,57.3948822486229
14,22.4269423359546
15,13.4498482182781
16,8.91674650946894
17,10.3732439585676
18,16.12343023126
19,11.186998212857
20,8.29865541664987
21,6.22807119971929
22,7.91087706187223
23,5.37721088370227
24,8.25726803208042
25,11.6183156359018
26,8.16849568099485
27,5.38460837560215
28,10.8006010031847
29,13.5741185407782
30,11.2614213203043
31,9.66620223660186
32,10.4703588973263
33,12.0806565359653
34,14.9677494732077
35,18.7459947628034
Median,10.6354799502555
Average,10.6354799502555
