PeriodId,cHRev-99
3,0
7,0
8,0
9,0
10,0
11,-3.33333333333333
12,12
13,0
14,-1.71428571428571
15,-2.5
16,-5.51470588235294
17,3.5143769968051
18,1.67224080267558
19,-1.12485939257593
20,-7.05426356589147
21,-8.84495317377731
22,-12.0767494356659
23,-8.37378640776699
24,-9.34343434343434
25,-16.025641025641
26,-7.86516853932584
27,-10.3879849812265
28,-9.12500000000001
29,-8.56389986824769
30,-12.9479768786127
31,-7.00876095118899
32,0.321888412017168
33,-0.997782705099781
34,8.84615384615384
35,1.41935483870967
Median,-2.10714285714286
Average,-2.10714285714286
