PeriodId,JITSofia-125
8,100
10,0
11,-11.1111111111111
12,-12.5
13,-61.9047619047619
14,-22.8070175438597
15,0
16,-52
17,-36.986301369863
18,-25.8426966292135
19,-20.5882352941177
20,-9.35483870967742
21,-14.7268408551069
22,-11.244019138756
23,-9.45558739255015
24,-9.98278829604131
25,-12.7962085308057
26,-12.7504553734062
27,-8.82758620689655
29,-22.9187071498531
30,-21.8148487626031
31,-17.6056338028169
32,-20.9273182957394
33,-14.3225806451613
34,-30.4347826086957
35,-17.8111587982833
Median,-14.5247107501341
Average,-14.5247107501341
